region1-1,csp,power,2005-01-01 00:00:00,0.0
region1-1,csp,power,2005-01-01 01:00:00,0.0
region1-1,csp,power,2005-01-01 02:00:00,0.0
region1-1,csp,power,2005-01-01 03:00:00,0.0
region1-1,csp,power,2005-01-01 04:00:00,0.0
region1-1,csp,power,2005-01-01 05:00:00,0.0
region1-1,csp,power,2005-01-01 06:00:00,0.0
region1-1,csp,power,2005-01-01 07:00:00,983.161926335417
region1-1,csp,power,2005-01-01 08:00:00,9000.0
region1-1,csp,power,2005-01-01 09:00:00,9000.0
region1-1,csp,power,2005-01-01 10:00:00,9000.0
region1-1,csp,power,2005-01-01 11:00:00,9000.0
region1-1,csp,power,2005-01-01 12:00:00,9000.0
region1-1,csp,power,2005-01-01 13:00:00,9000.0
region1-1,csp,power,2005-01-01 14:00:00,9000.0
region1-1,csp,power,2005-01-01 15:00:00,9000.0
region1-1,csp,power,2005-01-01 16:00:00,9000.0
region1-1,csp,power,2005-01-01 17:00:00,9000.0
region1-1,csp,power,2005-01-01 18:00:00,9000.00000000005
region1-1,csp,power,2005-01-01 19:00:00,8999.99999999999
region1-1,csp,power,2005-01-01 20:00:00,9000.0
region1-1,csp,power,2005-01-01 21:00:00,9000.0
region1-1,csp,power,2005-01-01 22:00:00,6082.91756149237
region1-1,csp,power,2005-01-01 23:00:00,0.0
region1-1,csp,power,2005-01-02 00:00:00,0.0
region1-1,csp,power,2005-01-02 01:00:00,0.0
region1-1,csp,power,2005-01-02 02:00:00,0.0
region1-1,csp,power,2005-01-02 03:00:00,0.0
region1-1,csp,power,2005-01-02 04:00:00,0.0
region1-1,csp,power,2005-01-02 05:00:00,1849.0494117647
region1-1,csp,power,2005-01-02 06:00:00,3665.99952941176
region1-1,csp,power,2005-01-02 07:00:00,4892.38447058823
region1-1,csp,power,2005-01-02 08:00:00,9000.0
region1-1,csp,power,2005-01-02 09:00:00,9000.0
region1-1,csp,power,2005-01-02 10:00:00,9000.0
region1-1,csp,power,2005-01-02 11:00:00,9000.0
